"batch","code","visual_status","reason","current_location"
"05","P4-F33","통과","인증 없는 DH에서 MITM이 공개값을 대체하는 흐름과 방어 수단이 명확함. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F33.png"
"05","P4-F53","재작업","상단 전체 제목이 깨져 있고 의미 없는 문장이 들어감. Feistel/SPN 일부 라벨도 흔들림.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part4\P4-F53.png"
"05","P4-F54","통과","블록암호/스트림암호 비교 표와 공통 경고가 명확함. 개념 오류 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F54.png"
"05","P4-F58","통과","대표 대칭키 알고리즘 비교 표가 안정적이고 주요 블록/키/구조 정보가 읽힘.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F58.png"
"05","P4-F64","통과","암호분석 공격 분류와 설명이 기능 패널로 분리되어 있고 개념 오류 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F64.png"
"05","P4-F65","재작업","키 크기 비교에서 ECC 3072 ≈ ECC 256으로 잘못 표기됨. RSA 3072 ≈ ECC 256이어야 함.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part4\P4-F65.png"
"05","P4-F73","통과","Salt DB 저장, Pepper KMS/HSM 분리, KDF 검증자 저장과 유출 영향이 명확함.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F73.png"
"05","P4-F74","재작업","상단 전체 제목과 EXAM FOCUS 말풍선이 남아 있음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part4\P4-F74.png"
"05","P4-F66","재작업","상단 1-5 RSA KEY GENERATION 제목/번호가 남아 있음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part4\P4-F66.png"
"05","P5-F05","재작업","상단 6. RACI 제도표 제목/번호가 남아 있음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part5\P5-F05.png"
