code,title,model,verdict,confidence,style_converted_ok,content_preserved_ok,title_policy_ok,no_internal_code_or_filename,korean_text_ok,layout_ok,concept_accuracy_ok,expected_width,expected_height,actual_width,actual_height,dimension_ok,summary_ko,failure_reasons_ko,observed_issues_ko,source_path,output_path,response_json
P1-F01,1.1 시스템보안은 무엇을 보호하는가,gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1101,2048,1101,True,"이미지 1은 원본 이미지 2의 모든 내용과 구조를 성공적으로 보존하면서 세련된 Nano Banana 스타일로 변환되었습니다. 한국어 텍스트는 명확하고 가독성이 좋으며, 제목 정책 및 기타 모든 검사 항목을 충족합니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F01.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F01.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F01.json
P1-F03,"책임추적, 침해 조사, 준수 증명",gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1101,2048,1101,True,"원본 이미지의 모든 내용과 구조, 한국어 텍스트가 성공적으로 보존되었으며, Nano Banana 스타일로 세련되게 변환되었습니다. 제목 정책도 준수합니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F03.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F03.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F03.json
P1-F04,"2.3 사용자 모드, 커널 모드, 시스템 콜",gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1101,2048,1101,True,"최종 이미지는 원본의 모든 기술적 내용, 흐름, 한국어 레이블을 완벽하게 보존하면서 세련된 Nano Banana 스타일로 성공적으로 변환되었습니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F04.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F04.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F04.json
P1-F05,2.4 운영체제 구조와 5계층,gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1101,2048,1101,True,원본 이미지의 모든 내용과 구조를 완벽하게 보존하면서 Nano Banana 스타일로 성공적으로 변환되었습니다. 한국어 텍스트 가독성 및 레이아웃에 문제가 없습니다.,,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F05.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F05.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F05.json
P1-F06,2.5 운영체제 처리 방식의 발전,gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1163,2048,1163,True,"원본 이미지의 모든 내용과 구조를 성공적으로 보존하면서 Nano Banana 스타일로 세련되게 변환되었으며, 제목 정책도 준수합니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F06.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F06.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F06.json
P1-F07,"2.7 프로세스, 스레드, PCB, 문맥교환",gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1163,2048,1163,True,"Image 1은 원본 Image 2의 모든 기술적 내용과 흐름, 한국어 레이블을 성공적으로 보존하면서 Nano Banana 스타일로 변환되었습니다. 상단 제목/배너가 제거되어 제목 정책을 준수하며, 텍스트 가독성 및 레이아웃도 양호합니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F07.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F07.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F07.json
P1-F08,"2.7 프로세스, 스레드, PCB, 문맥교환",gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1210,2048,1210,True,"이미지 1은 원본 이미지 2의 모든 기술적 내용과 흐름, 한국어 레이블을 완벽하게 보존하면서 세련된 나노 바나나 스타일로 성공적으로 변환되었습니다. 상단 제목 정책도 준수되었습니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F08.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F08.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F08.json
P1-F09,MFQ/MLFQ: 실행 특성에 따라 프로세스가 큐 사이를 이동할 수 있다.,gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1101,2048,1101,True,"원본 이미지의 모든 내용과 구조가 Nano Banana 스타일로 성공적으로 변환되었으며, 한국어 텍스트 가독성 및 개념적 정확성이 완벽하게 유지되었습니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F09.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F09.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F09.json
P1-F10,2.11 프로세스 메모리 구조,gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1210,2048,1210,True,"이미지 1은 원본 이미지 2의 모든 내용과 구조를 성공적으로 보존하면서, 세련된 Nano Banana 스타일의 교육용 다이어그램으로 변환되었습니다. 한국어 텍스트는 명확하게 읽을 수 있으며, 제목 정책도 잘 준수되었습니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F10.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F10.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F10.json
P1-F11,"2.12 메모리 할당, 단편화, 가상메모리",gemini-2.5-flash,PASS,1.0,True,True,True,True,True,True,True,2048,1161,2048,1161,True,"이미지 1은 이미지 2의 평면적인 스타일을 세련된 Nano Banana 스타일의 교육용 다이어그램으로 성공적으로 변환했으며, 모든 원본 기술 내용과 한국어 레이블을 정확하게 보존했습니다. 추가된 시각적 요소와 'OS kernel process', 'User process' 등의 맥락 정보는 다이어그램의 이해도를 높이며 개념적 정확성을 유지합니다. 제목 정책을 준수하고 텍스트 가독성 및 레이아웃도 양호합니다.",,,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F11.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F11.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_second_review_responses\P1-F11.json
