code,title,caption,purpose,model,source_path,output_path,response_json,expected_width,expected_height,actual_width,actual_height,dimension_ok,status,note
P1-F01,1.1 시스템보안은 무엇을 보호하는가,P1-F01 Part1 document figure order reference,시험 포인트 | 범위를 묻는 문제의 판별 기준 / • 시스템보안의 대상은 운영체제뿐 아니라 단말·서버·클라우드·보안제품과 그 안의 정보까지 포함한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F01.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F01.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F01.json,2048,1101,2048,1101,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F03,"책임추적, 침해 조사, 준수 증명",P1-F03 Part1 document figure order reference,"판별 기준 | 시스템 정보 문제를 푸는 방법 / • “현재 상태를 설명”하면 환경정보, “사용자 신원과 로그인”이면 인증정보를 우선 떠올린다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F03.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F03.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F03.json,2048,1101,2048,1101,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F04,"2.3 사용자 모드, 커널 모드, 시스템 콜",P1-F04 Part1 document figure order reference,"2.3 사용자 모드, 커널 모드, 시스템 콜 / CPU는 권한 수준을 구분해 일반 프로그램이 임의로 메모리나 장치를 제어하지 못하게 한다. 사용자 모드에서는 특권 명령과 커널 메모리 접근이 제한된다. 커널 모드에서는 장치 제어, 페이지 테이블 변경, 인터럽트 처리 같은 민감한 작업을 수행할 수 있다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F04.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F04.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F04.json,2048,1101,2048,1101,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F05,2.4 운영체제 구조와 5계층,P1-F05 Part1 document figure order reference,"주의 | 용어 정확성 / 과거 자료에는 CPU 제어 흐름을 설명하면서 `MOV EIP, ESP` 같은 표현이 등장할 수 있다. EIP/RIP는 일반적인 MOV 명령의 직접 목적지가 아니다. 버퍼 오버플로우의 핵심은 저장된 반환주소 또는 함수 포인터가 덮여 **제어 흐름이 공격자가 의도한 위치로 바뀔 수 있다**는 점이다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F05.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F05.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F05.json,2048,1101,2048,1101,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F06,2.5 운영체제 처리 방식의 발전,P1-F06 Part1 document figure order reference,2.5 운영체제 처리 방식의 발전 / 일괄처리(Batch)는 작업을 모아 순차 처리해 운영자의 개입을 줄인다. 다중프로그래밍은 한 프로그램이 입출력을 기다리는 동안 다른 프로그램에 CPU를 할당해 이용률을 높인다. 다중처리(Multiprocessing)는 둘 이상의 프로세서가 작업을 병렬 처리한다. 시분할(Time Sharing)은 짧은 시간 할당량으로 여러 사용자·프로세스에 빠른 응답을 제공한다. 실시간 처리는 정해진 시간 제한 안에 결과를 내는 것이 중요하다. 분산처리는 네트워크로 연결된 여러 컴퓨터가 작업과 자원을 나눈다. 임베디드 OS는 특정 장치 목적에 맞게 기능과 자원을 제한한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F06.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F06.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F06.json,2048,1163,2048,1163,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F07,"2.7 프로세스, 스레드, PCB, 문맥교환",P1-F07 Part1 document figure order reference,"시험 포인트 | 버퍼링과 스풀링 / 버퍼링은 주기억장치의 임시 저장과 속도 차이 완화가 핵심이고, 스풀링은 디스크의 대기열과 장치 공유가 핵심이다. 프린터 출력 대기열은 대표적인 스풀링 사례다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F07.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F07.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F07.json,2048,1163,2048,1163,True,OK,Regenerated from Part1 DOCX SVG-style source. Prompt source had top title area removed.
P1-F08,"2.7 프로세스, 스레드, PCB, 문맥교환",P1-F08 Part1 document figure order reference,구분 / 프로세스,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F08.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F08.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F08.json,2048,1210,2048,1210,True,OK,Regenerated from Part1 DOCX SVG-style source. Prompt source had top title area removed.
P1-F09,MFQ/MLFQ: 실행 특성에 따라 프로세스가 큐 사이를 이동할 수 있다.,P1-F09 Part1 document figure order reference,알고리즘 / 선점 여부(전형적 분류),gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F09.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F09.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F09.json,2048,1101,2048,1101,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F10,2.11 프로세스 메모리 구조,P1-F10 Part1 document figure order reference,시험 포인트 | 교착상태 문제의 빠른 판별 / 환형대기 하나만 있다고 교착상태가 확정되는 것은 아니다. 네 필요조건이 모두 있어야 한다. “오래 기다린다”만으로는 기아일 수 있으므로 전체 프로세스가 서로 대기해 진행 불가능한지 확인한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F10.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F10.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F10.json,2048,1210,2048,1210,True,OK,Regenerated from Part1 DOCX SVG-style source. Prompt source had top title area removed.
P1-F11,"2.12 메모리 할당, 단편화, 가상메모리",P1-F11 Part1 document figure order reference,"2.12 메모리 할당, 단편화, 가상메모리 / 연속 메모리 할당에서 빈 공간을 선택하는 방식은 최초 적합, 최적 적합, 최악 적합으로 나눈다. 최초 적합(First Fit)은 처음 발견한 충분한 공간, 최적 적합(Best Fit)은 남는 공간이 가장 작은 곳, 최악 적합(Worst Fit)은 가장 큰 공간을 선택한다. 이름만 보고 최적 적합이 항상 시스템 전체에서 최선이라고 판단하면 안 된다. 작은 빈 공간을 많이 만들 수 있다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F11.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F11.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F11.json,2048,1161,2048,1161,True,OK,Regenerated from Part1 DOCX SVG-style source.
