batch,code,visual_status,reason,current_location
05-final,P4-F33,통과,인증 없는 DH에서 MITM이 공개값을 대체하는 흐름과 방어 수단이 명확함. 전체 제목·코드 없음.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F33.png
05-final,P4-F53,통과,Feistel/SPN 라운드 구조와 복호화 차이 보정본 통과. 전체 제목·의미 없는 문장 없음.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F53.png
05-final,P4-F54,통과,블록암호/스트림암호 비교 표와 공통 경고가 명확함. 개념 오류 없음.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F54.png
05-final,P4-F58,통과,대표 대칭키 알고리즘 비교 표가 안정적이고 주요 블록/키/구조 정보가 읽힘.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F58.png
05-final,P4-F64,통과,암호분석 공격 분류와 설명이 기능 패널로 분리되어 있고 개념 오류 없음.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F64.png
05-final,P4-F65,통과,"IFP/DLP/ECDLP 패널과 RSA 2048≈ECC 224, RSA 3072≈ECC 256 비교가 정확함. ECC 3072 없음.",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F65.png
05-final,P4-F73,통과,"Salt DB 저장, Pepper KMS/HSM 분리, KDF 검증자 저장과 유출 영향이 명확함.",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F73.png
05-final,P4-F74,통과,Password KDF와 HKDF Extract/Expand 키 분리 경로가 명확하고 EXAM FOCUS·전체 제목 없음.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F74.png
05-final,P4-F66,통과,"RSA 작은 수 계산 p=11, q=13, n=143, phi(n)=120, e=7, d=103, C=48, M=9가 정확함. 전체 제목 없음.",C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F66.png
05-final,P5-F05,통과,RACI 매트릭스와 업무별 A 1명 원칙이 명확함. 상단 번호·제목 없음.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F05.png
